name,color
Red2,#EE0000
MediumOrchid,#BA55D3
PaleGreen2,#90EE90
Magenta3,#CD00CD
Salmon3,#CD7054
DarkGrey,#A9A9A9
Yellow1,#FFFF00
DarkGoldenrod4,#8B658B
PaleVioletRed2,#EE799F
Sienna4,#8B4726
OrangeRed3,#CD3700
SlateGray3,#9FB6CD
Purple2,#912CEE
Cyan1,#00FFFF
gray91,#E8E8E8
SkyBlue1,#87CEFF
DarkOrchid4,#68228B
SteelBlue4,#36648B
Maroon3,#CD2990
DeepPink2,#EE1289
Brown1,#FF4040
MediumOrchid4,#7A378B
DarkOrchid,#9932CC
MediumPurple3,#8968CD
Brown3,#CD3333
SpringGreen3,#00CD66
Chocolate2,#EE7621
Khaki3,#CDC673
OliveDrab2,#B3EE3A
Magenta2,#EE00EE
Yellow4,#8B8B00
Aquamarine3,#66CDAA
MediumPurple4,#5D478B
VioletRed2,#EE3A8C
SpringGreen4,#008B45
Salmon4,#8B4C39
DodgerBlue3,#1874CD
DeepSkyBlue4,#00688B
DarkOrange3,#CD6600
Purple3,#7D26CD
DeepSkyBlue1,#00BFFF
Khaki2,#EEE685
Magenta4,#8B008B
MediumPurple2,#9F79EE
CadetBlue2,#8EE5EE
VioletRed3,#CD3278
grey71,#B5B5B5
Green2,#00EE00
Tomato4,#8B3626
DeepPink1,#FF1493
DarkSlateGray1,#97FFFF
SlateGray1,#C6E2FF
DodgerBlue1,#1E90FF
Maroon4,#8B1C62
Chocolate1,#FF7F24
DarkSeaGreen4,#698B69
RoyalBlue1,#4876FF
OliveDrab1,#C0FF3E
Orchid3,#CD69C9
Plum3,#CD96CD
OliveDrab3,#9ACD32
Magenta,#FF00FF
DarkOrange4,#8B4500
Blue4,#00008B
DarkOliveGreen2,#BCEE68
PaleTurquoise1,#BBFFFF
Salmon2,#EE8262
Tomato1,#FF6347
LightGreen,#90EE90
Coral3,#CD5B45
Pink2,#EEA9B8
DarkViolet,#9400D3
SlateBlue3,#6959CD
DeepSkyBlue3,#009ACD
SkyBlue2,#7EC0EE
Orchid4,#8B4789
SeaGreen4,#2E8B57
PaleVioletRed1,#FF82AB
Brown4,#8B2323
Blue1,#0000FF
IndianRed3,#CD5555
Coral1,#FF7256
gray81,#CFCFCF
HotPink2,#EE6AA7
MediumOrchid1,#E066FF
PaleGreen3,#7CCD7C
SlateBlue4,#473C8B
Aquamarine4,#458B74
Chartreuse1,#7FFF00
DarkGoldenrod1,#FFB90F
SkyBlue3,#6CA6CD
Burlywood1,#FFD39B
DarkSeaGreen2,#B4EEB4
DodgerBlue4,#104E8B
Cyan3,#00CDCD
Chartreuse2,#76EE00
OliveDrab4,#698B22
Turquoise1,#00F5FF
Chartreuse3,#66CD00
RosyBrown1,#FFC1C1
SteelBlue3,#4F94CD
SlateGray2,#B9D3EE
Goldenrod4,#8B6914
Violet,#EE82EE
DarkOliveGreen3,#A2CD5A
DarkSeaGreen1,#C1FFC1
DarkSeaGreen3,#9BCD9B
Chartreuse4,#458B00
Orchid1,#FF83FA
Thistle1,#FFE1FF
Sienna3,#CD6839
Turquoise4,#00868B
Khaki1,#FFF68F
VioletRed4,#8B2252
DarkSlateGray3,#79CDCD
RosyBrown4,#8B6969
DarkSlateGray4,#528B8B
CadetBlue4,#53868B
VioletRed1,#FF3E96
DarkOliveGreen1,#CAFF70
CadetBlue3,#7AC5CD
SkyBlue4,#4A708B
Firebrick3,#CD2626
MediumPurple,#9370DB
DarkOrchid2,#B23AEE
Plum2,#EEAEEE
HotPink4,#8B3A62
Red4,#8B0000
OrangeRed2,#EE4000
PaleGreen1,#9AFF9A
Blue2,#0000EE
Thistle3,#CDB5CD
DeepPink4,#8B0A50
CadetBlue1,#98F5FF
Aquamarine2,#76EEC6
Burlywood4,#8B7355
Firebrick2,#EE2C2C
SteelBlue2,#5CACEE
DarkSlateGray2,#8DEEEE
DarkGoldenrod2,#EEAD0E
Purple1,#9B30FF
IndianRed2,#EE6363
Orange4,#8B5A00
RoyalBlue4,#27408B
MediumOrchid2,#D15FEE
Purple,#A020F0
IndianRed1,#FF6A6A
Turquoise3,#00C5CD
Chocolate3,#CD661D
grey31,#4F4F4F
grey21,#363636
Orange3,#CD8500
grey11,#1C1C1C
Sienna2,#EE7942
Aquamarine1,#7FFFD4
Pink3,#CD919E
Thistle,#D8BFD8
DarkMagenta,#8B008B
Coral4,#8B3E2F
HotPink3,#CD6090
Gold2,#EEC900
SlateGray4,#6C7B8B
Maroon1,#FF34B3
Plum4,#8B668B
PaleVioletRed4,#8B475D
Orchid2,#EE7AE9
Orange1,#FFA500
Maroon2,#EE30A7
DeepPink3,#CD1076
Green3,#00CD00
DarkOrchid3,#9A32CD
SlateBlue1,#836FFF
SteelBlue1,#63B8FF
Firebrick4,#8B1A1A
Green1,#00FF00
Red3,#CD0000
Burlywood2,#EEC591
Thistle4,#8B7B8B
SeaGreen1,#54FF9F
BlueViolet,#8A2BE2
DodgerBlue2,#1C86EE
SpringGreen1,#00FF7F
DeepSkyBlue2,#00B2EE
PaleTurquoise4,#668B8B
Green4,#008B00
Goldenrod2,#EEB422
PaleTurquoise3,#96CDCD
Yellow3,#CDCD00
DarkOliveGreen4,#6E8B3D
SeaGreen2,#4EEE94
Red1,#FF0000
RoyalBlue3,#3A5FCD
Purple4,#551A8B
DarkOrange2,#EE7600
Burlywood3,#CDAA7D
Magenta1,#FF00FF
Orange2,#EE9A00
DarkRed,#8B0000
Blue3,#0000CD
grey61,#9C9C9C
Goldenrod1,#FFC125
Tomato3,#CD4F39
Sienna1,#FF8247
SeaGreen3,#43CD80
Salmon1,#FF8C69
DarkOrchid1,#BF3EFF
PaleGreen4,#548B54
OrangeRed1,#FF4500
MediumPurple1,#AB82FF
DarkCyan,#008B8B
Cyan4,#008B8B
Goldenrod3,#CD9B1D
PaleTurquoise2,#AEEEEE
Plum1,#FFBBFF
Firebrick1,#FF3030
RoyalBlue2,#436EEE
grey51,#828282
DarkBlue,#00008B
MediumOrchid3,#B452CD
Yellow2,#EEEE00
Plum,#DDA0DD
Gold4,#8B7500
RosyBrown2,#EEB4B4
Khaki4,#8B864E
Chocolate4,#8B4513
Gold1,#FFD700
Thistle2,#EED2EE
Pink4,#8B636C
SpringGreen2,#00EE76
RosyBrown3,#CD9B9B
OrangeRed4,#8B2500
Coral2,#EE6A50
DarkOrange1,#FF7F00
PaleVioletRed3,#CD6889
Brown2,#EE3B3B
DarkGoldenrod3,#CD950C
SlateBlue2,#7A67EE
Cyan2,#00EEEE
grey41,#696969
Pink1,#FFB5C5
Gold3,#CDAD00
Turquoise2,#00E5EE
HotPink1,#FF6EB4
Tomato2,#EE5C42
IndianRed4,#8B3A3A
Orchid,#DA70D6
